Campus: ,Building:,Unit Number:,Asset ID:,"PFHO Satus    (Y/N if Y, date) ",Manufacturer:,Model:,Serial:,Size: (KW),Enclosure Manufacturer,Run Hours: ,Fuel Level: %,3M PM,compliance window,6M PM,compliance window,12M PM,compliance window,Load Bank,FSB Status (Y/N/WIP),Warranty Expiration Date,Notes: ,Known Issues: 
SBN,100,GEN HS,9923040494,5/20/2025,CATERPILLAR,C18,LTH01103,,,,,,,,,,,,,,,
SBN,100,GEN 1.1A,9923040506,5/20/2025,CATERPILLAR,3516E,JD701145,,,,,,,,,,,,,,,
SBN,100,GEN 1.1B,9923040519,5/20/2025,CATERPILLAR,3516E,JD701163,,,,,,,,,,,,,,,
SBN,100,GEN 1.1C,9923040534,5/20/2025,CATERPILLAR,3516E,JD701161,,,,,,,,,,,,,,,
SBN,100,GEN 2.1C,9923040579,5/20/2025,CATERPILLAR,3516E,JD701165,,,,,,,,,,,,,,,
SBN,100,GEN 2.1B,9923043752,5/27/2025,CATERPILLAR,3516E,JD701185,,,,,,,,,,,,,,,
SBN,100,GEN 2.1A,9923043765,5/27/2025,CATERPILLAR,3516E,JD701189,,,,,,,,,,,,,,,
SBN,100,GEN 1.2B,9923282863,6/12/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.2A,9923282885,6/12/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.3B,9923282902,6/12/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.3A,9923282922,6/12/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.4B,9923282933,7/3/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.4A,9923282957,7/3/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.5B,9923282971,7/14/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.5A,9923282994,7/14/2025,CATERPILLAR,3516E,N/A,,,,,,,,,,,,,,,
SBN,100,GEN 1.6A,9923555538,8/1/2025,CATERPILLAR,3516E,JD701203,,,,,,,,,,,,,,,
SBN,100,GEN 1.6B,9923555556,8/1/2025,CATERPILLAR,3516E,JD701121,,,,,,,,,,,,,,,
SBN,100,GEN 2.2A,9923612140,8/7/2025,CATERPILLAR,3516E,70325,,,,,,,,,,,,,,,
SBN,100,GEN 2.2B,9923612156,8/7/2025,CATERPILLAR,3516E,701360,,,,,,,,,,,,,,,
SBN,100,GEN 2.3A,9923612172,8/21/2025,CATERPILLAR,3516E,701369,,,,,,,,,,,,,,,
SBN,100,GEN 2.3B,9923612190,8/21/2025,CATERPILLAR,3516E,701375,,,,,,,,,,,,,,,
SBN,100,GEN 2.4A,9923612206,8/22/2025,CATERPILLAR,3516E,701404,,,,,,,,,,,,,,,
SBN,100,GEN 2.4B,9923612221,8/22/2025,CATERPILLAR,3516E,701361,,,,,,,,,,,,,,,
SBN,100,GEN 2.5A,9923612239,9/8/2025,CATERPILLAR,3516E,701515,,,,,,,,,,,,,,,
SBN,100,GEN 2.5B,9923612256,9/8/2025,CATERPILLAR,3516E,701400,,,,,,,,,,,,,,,
SBN,100,GEN 2.6A,9923612277,9/15/2025,CATERPILLAR,3516E,701363,,,,,,,,,,,,,,,
SBN,100,GEN 2.6B,9923612294,9/15/2025,CATERPILLAR,3516E,701405,,,,,,,,,,,,,,,
